ID,SMILES,CAS
D0222,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,83-43-2
D0223,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12,2921-57-5
D0224,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,124-94-7 
D0225,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,76-25-5
D0226,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,67-78-7
D0227,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,104-31-4 
D0228,CC[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,435-97-2 
D0229,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,125-71-3 
D0230,CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1,80-77-3
D0232,O=c1[nH]c2cc(Cl)ccc2o1,95-25-0
D0233,C[C@@H](CN(C)C)CN1c2ccccc2Sc2ccccc21,84-96-8
D0234,FC(F)(F)[C@H](Cl)Br,151-67-7 
D0235,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,120-97-8 
D0236,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1,80-77-3
D0237,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,117-89-5 
D0238,O=C1C(CC[S@](=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,57-96-5
D0239,C=CC[C@@]1([C@@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O,151-83-7 
D0240,CN1CCCN=C1COC(=O)[C@](O)(c1ccccc1)C1CCCCC1,125-53-1 
D0241,CC(C)(N)Cc1ccccc1,122-09-8 
D0242,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,94-20-2
D0243,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,50-02-2
D0244,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],312-93-6 
D0245,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1177-87-3
D0246,CCN(CC)[C@@H](C)C(=O)c1ccccc1,90-84-6
D0247,CCC[C@@H](C)C1(CC)C(=O)NC(=S)NC1=O,76-75-5
D0248,S=P(N1CC1)(N1CC1)N1CC1,52-24-4
D0249,C[C@@H](N)[C@@H](O)c1ccccc1,14838-15-4 
D0250,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,76-41-5
D0251,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,554-57-4 
D0252,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,426-13-1 
D0253,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,69-23-8
